,EV/EBIT,Op. In./(NWC+FA),P/E,P/B,P/S,Op. In./Interest Expense,Working Capital Ratio,RoE,ROCE,Debt/Equity,Debt Ratio,Cash Ratio,Asset Turnover,Gross Profit Margin,Perf
6453,5.719948319,0.352018665,11.33050293,1.721675836,0.395081396,-60.66800274,2.174895305,0.151950522,0.196169901,0.682939796,2.464257912,0.797606453,47.71115457,0.136115097,0.10417812
285,9.409118939,0.277056354,15.14520599,3.370503973,3.905358372,800,5.406647116,0.222545931,0.245054763,0.352879333,3.833829888,4.177009854,5.842410587,0.651609649,-0.034883721
8334,14.77007445,0.467522667,21.13691452,4.427748423,1.674641117,-200,1.726281957,0.209479412,0.179791646,1.487672355,1.672191022,0.636277979,20.02887139,0.515939767,-0.132022472
7670,9.276101232,1.193414118,88.68855114,1.769528169,0.645830419,-200,3.273842799,0.01995216,0.062706054,0.763127697,2.310396679,2.406700367,76.02130045,0.511294628,-0.069478908
8871,32.12429048,0.133270134,112.283125,1.978500672,3.5815247,-114.0566038,1.682799612,0.017620641,0.046818702,0.609285163,2.641267606,0.459606987,0.486081047,0.64773198,-0.164426877
4656,20.16291492,1.229871492,27.19406675,1.676420385,2.137748756,5.4088812,1.286527222,0.06164655,0.061067576,1.160494392,1.861701709,0.259920025,13.19384615,0.309371113,-0.01216
1528,20.58862357,0.16549385,29.06388693,2.966038134,3.241615954,-200,5.076231221,0.102052356,0.096478295,0.554989051,2.80183735,3.09690897,22.03265447,0.615181779,-0.173564753
11805,17.42385457,1.698304751,34.84039026,11.55068348,1.458750822,-200,1.237075718,0.331531403,0.498736006,2.088697631,1.47876724,0.672025364,29.37255937,0.889797165,0
2775,22.09485219,0.099029609,49.46274005,3.040683847,1.5479764,3.009451796,2.751865672,0.06147423,0.067564047,2.701410884,1.370176935,0.136567164,1.198840172,0.239372618,-0.151000801
11737,-22.99269648,-0.09759942,-22.83383338,2.72367377,5.363824796,-4.583878262,8.659000591,-0.11928237,0,0.474901483,3.105699887,6.907269993,3.01650349,0.671214843,-0.109131403
12087,11.81648393,0.499206674,18.72053056,4.552781291,2.697425138,-200,1.814107465,0.243197236,0.31494862,0.759626402,2.316436603,0.657148115,8.384685299,0.433820673,0.37316869
